GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,BUS ID,C0,C1,C2,Csu,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
74,19,WIND,W,,,1.0,217.6000262,0.0,124.7,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,841773.7138,2525321.141,-3367094.855,,19.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
75,98,CT,G,,,1.0,114.0,34.2,0.0,0.0,1.0,2.0,19.7,,,,,,,35,2.29,0.3,0.533333333,0.766666667,1.0,,1742.358079,277.1743231,278.1630533,-555.3373764,,98.0,447.0,23.71,0.0016,35.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
76,44,CT,G,,,1.0,453.5,136.05,211.33,-55.33,1.0,2.0,134.28,,,,,,,59,2.29,0.3,0.533333333,0.766666667,1.0,,11684.06114,1587.465638,1603.112334,-3190.577972,,44.0,715.0,33.75,0.0016,59.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
77,119,WIND,W,,,1.0,199.9999773,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,711110.9495,2133332.849,-2844443.798,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
78,119,WIND,W,,,1.0,151.199977,0.0,21.56,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,406425.4763,1219276.429,-1625701.905,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
79,119,WIND,W,,,1.0,87.49998257,0.0,7.99,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,136111.0569,408333.1706,-544444.2275,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
80,119,WIND,W,,,1.0,141.4999815,0.0,19.49,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,355951.018,1067853.054,-1423804.072,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
81,119,WIND,W,,,1.0,184.9999773,0.0,28.76,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,608444.2953,1825332.886,-2433777.181,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
82,119,WIND,W,,,1.0,130.4999826,0.0,17.15,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,302759.9192,908279.7576,-1211039.677,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
83,119,WIND,W,,,1.0,290.9999776,0.0,51.33,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1505439.768,4516319.304,-6021759.072,,119.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
84,42,WIND,W,,,1.0,1.81e-05,0.0,16.05,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,5.81e-09,1.74e-08,-2.32e-08,,42.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
85,91,CT,G,,,1.0,168.0,50.4,94.08,-10.75,1.0,2.0,22.97,,,,,,,77,2.29,0.3,0.533333333,0.766666667,1.0,,5648.908297,577.6265502,579.7738201,-1157.40037,,91.0,18.0,33.52,0.0016,77.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
86,91,PV,S,,,1.0,25.33333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,11409.38272,34228.14815,-45637.53086,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
87,91,PV,S,,,1.0,129.3333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,297370.8642,892112.5926,-1189483.457,,91.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
88,94,WIND,W,,,1.0,170.5999841,0.0,25.69,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,517410.7482,1552232.245,-2069642.993,,94.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
89,94,WIND,W,,,1.0,163.9999841,0.0,24.28,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,478151.0184,1434453.055,-1912604.074,,94.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
90,94,WIND,W,,,1.0,220.1999844,0.0,36.25,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,862009.4776,2586028.433,-3448037.91,,94.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
91,94,WIND,W,,,1.0,785.4999847,0.0,156.66,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,10969070.68,32907212.05,-43876282.73,,94.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
92,94,WIND,W,,,1.0,282.4999845,0.0,49.52,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1418777.622,4256332.865,-5675110.486,,94.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
93,111,NUC,N,,,1.0,2708.6,812.58,996.76,-222.11,48.0,48.0,135.43,,,,,,,1200,0.81035,0.3,0.533333333,0.766666667,1.0,,4011007.589,16418.42078,17995.74387,-34414.16464,,111.0,0.0,17.44,0.0016,1200.0,7040.489322,6966.178959,6731.224251,7.210946358,7.294679868,7.378403404,145.96,145.96,145.96,2.84,2.84,2.84
94,91,CT,G,,,1.0,63.1,18.93,29.4,-7.7,1.0,2.0,6.72,,,,,,,71,2.29,0.3,0.533333333,0.766666667,1.0,,1956.375546,264.5322226,264.8351418,-529.3673644,,91.0,219.0,41.06,0.0016,71.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
95,82,WIND,W,,,1.0,119.9999868,0.0,26.88,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,255999.9435,767999.8306,-1023999.774,,82.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
96,22,WIND,W,,,1.0,99.60002575,0.0,31.86,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,176358.4912,529075.4736,-705433.9648,,22.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
97,22,WIND,W,,,1.0,612.5000265,0.0,141.11,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,6669445.022,20008335.06,-26677780.09,,22.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
98,19,CT,G,,,1.0,150.0,45.0,31.95,-21.6,1.0,2.0,7.1,,,,,,,55,2.29,0.3,0.533333333,0.766666667,1.0,,3602.620087,360.8515284,362.5633188,-723.4148472,,19.0,85.0,23.41,0.0016,55.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
99,19,WIND,W,,,1.0,42.00002267,0.0,19.6,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,31360.03385,94080.10156,-125440.1354,,19.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
100,36,CT,G,,,1.0,618.7,185.61,346.47,-39.6,1.0,2.0,52.67,,,,,,,7,2.29,0.3,0.533333333,0.766666667,1.0,,1891.222707,3629.567377,3658.689853,-7288.257229,,36.0,889.0,56.75,0.0016,7.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
101,26,PV,S,,,1.0,18.66666667,0.0,3.14,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,6194.567901,18583.7037,-24778.2716,,26.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
102,74,WIND,W,,,1.0,80.50009646,0.0,27.8,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,115204.7205,345614.1616,-460818.8822,,74.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
103,74,WIND,W,,,1.0,70.00009472,0.0,25.56,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,87111.34686,261334.0406,-348445.3874,,74.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
104,74,WIND,W,,,1.0,13.00007328,0.0,13.42,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,3004.478317,9013.434951,-12017.91327,,74.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
105,74,CT,G,,,1.0,249.0,74.7,53.04,-35.86,1.0,2.0,18.55,,,,,,,47,2.29,0.3,0.533333333,0.766666667,1.0,,5110.480349,846.6869869,851.4039965,-1698.090983,,74.0,49.0,33.04,0.0016,47.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
106,50,PV,S,,,1.0,400.0,0.0,25.56,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,2844444.444,8533333.333,-11377777.78,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
107,120,CT,G,,,1.0,150.0,45.0,31.95,-21.6,1.0,2.0,13.85,,,,,,,52,2.29,0.3,0.533333333,0.766666667,1.0,,3406.113537,831.1353712,832.8471616,-1663.982533,,120.0,191.0,54.18,0.0016,52.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
108,94,CT,G,,,1.0,169.5,50.85,36.1,-24.41,1.0,2.0,31.2,,,,,,,62,2.29,0.3,0.533333333,0.766666667,1.0,,4589.082969,779.8776419,782.0634271,-1561.941069,,94.0,155.0,44.93,0.0016,62.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
109,77,WIND,W,,,1.0,199.9999318,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,711110.6265,2133331.879,-2844442.506,,77.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
110,2,WIND,W,,,1.0,338.5999989,0.0,61.47,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,2038221.498,6114664.495,-8152885.994,,2.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
111,70,PV,S,,,1.0,32.0,0.0,3.69,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,18204.44444,54613.33333,-72817.77778,,70.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
112,82,CT,G,,,1.0,250.0,75.0,140.0,-16.0,1.0,2.0,15.92,,,,,,,56,2.29,0.3,0.533333333,0.766666667,1.0,,6113.537118,1287.748666,1292.503639,-2580.252305,,82.0,329.0,50.22,0.0016,56.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
113,30,WIND,W,,,1.0,150.0001006,0.0,42.6,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,400000.5367,1200001.61,-1600002.147,,30.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
114,30,CT,G,,,1.0,165.6,49.68,35.27,-23.85,1.0,2.0,7.55,,,,,,,78,2.29,0.3,0.533333333,0.766666667,1.0,,5640.524017,773.1509659,775.2373235,-1548.388289,,30.0,317.0,45.6,0.0016,78.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
115,30,WIND,W,,,1.0,150.0001006,0.0,42.6,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,400000.5367,1200001.61,-1600002.147,,30.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
116,120,PV,S,,,1.0,199.3333333,0.0,12.74,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,706378.2716,2119134.815,-2825513.086,,120.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
117,30,WIND,W,,,1.0,10.00007654,0.0,12.78,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1777.804992,5333.414977,-7111.21997,,30.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
118,93,CT,G,,,1.0,225.0,67.5,47.93,-32.4,1.0,2.0,24.28,,,,,,,71,2.29,0.3,0.533333333,0.766666667,1.0,,6975.982533,555.2620087,559.1135371,-1114.375546,,93.0,306.0,23.92,0.0016,71.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
119,93,WIND,W,,,1.0,199.9999882,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,711111.0271,2133333.081,-2844444.108,,93.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
120,93,WIND,W,,,1.0,117.5999879,0.0,14.4,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,245862.3495,737587.0486,-983449.3982,,93.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
121,53,CT,G,,,1.0,1097.4,329.22,511.39,-133.88,1.0,2.0,119.29,,,,,,,8,2.29,0.3,0.533333333,0.766666667,1.0,,3833.71179,4305.296678,4396.9183,-8702.214978,,53.0,1850.0,37.04,0.0016,8.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
122,81,CT,G,,,1.0,243.3,72.99,113.38,-29.68,1.0,2.0,67.83,,,,,,,21,2.29,0.3,0.533333333,0.766666667,1.0,,2231.135371,759.4388157,763.9423377,-1523.381153,,81.0,343.0,30.31,0.0016,21.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
123,50,PV,S,,,1.0,6.666666667,0.0,1.02,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,790.1234568,2370.37037,-3160.493827,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
124,98,CT,G,,,1.0,44.0,13.2,0.0,0.0,1.0,2.0,8.2,,,,,,,6,2.29,0.3,0.533333333,0.766666667,1.0,,115.2838428,219.6737894,219.8210795,-439.4948689,,98.0,107.0,48.94,0.0016,6.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
125,50,WIND,W,,,1.0,174.1999763,0.0,26.45,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,539477.8977,1618433.693,-2157911.591,,50.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
126,50,PV,S,,,1.0,300.0,0.0,19.17,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1600000.0,4800000.0,-6400000.0,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
127,50,PV,S,,,1.0,385.0,0.0,24.6,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,2635111.111,7905333.333,-10540444.44,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
128,50,WIND,W,,,1.0,249.499976,0.0,42.49,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1106670.898,3320012.694,-4426683.593,,50.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
129,48,CT,G,,,1.0,126.5,37.95,26.94,-18.22,1.0,2.0,35.81,,,,,,,51,2.29,0.3,0.533333333,0.766666667,1.0,,2817.248908,491.1968607,492.4143051,-983.6111658,,48.0,357.0,37.94,0.0016,51.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
130,48,CT,G,,,1.0,209.0,62.7,44.52,-30.1,1.0,2.0,60.41,,,,,,,14,2.29,0.3,0.533333333,0.766666667,1.0,,1277.729258,531.0810674,534.4042993,-1065.485367,,48.0,501.0,24.66,0.0016,14.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
131,48,WIND,W,,,1.0,100.000041,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,177777.9235,533333.7706,-711111.6942,,48.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
132,48,WIND,W,,,1.0,147.000042,0.0,41.96,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,384160.2195,1152480.659,-1536640.878,,48.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
133,18,WIND,W,,,1.0,139.8039648,0.0,38.34,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,347469.3078,1042407.923,-1389877.231,,18.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
134,18,WIND,W,,,1.0,6.18e-05,0.0,1.92,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,6.79e-08,2.04e-07,-2.71e-07,,18.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
135,18,WIND,W,,,1.0,187.3297783,0.0,42.62,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,623865.7041,1871597.112,-2495462.816,,18.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
136,85,WIND,W,,,1.0,153.0000243,0.0,43.24,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,416160.132,1248480.396,-1664640.528,,85.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
137,85,CT,G,,,1.0,200.0,60.0,42.6,-28.8,1.0,2.0,39.62,,,,,,,24,2.29,0.3,0.533333333,0.766666667,1.0,,2096.069869,1097.719554,1100.762737,-2198.48229,,85.0,80.0,53.6,0.0016,24.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
138,85,CT,G,,,1.0,201.6,60.48,42.94,-29.03,1.0,2.0,59.83,,,,,,,36,2.29,0.3,0.533333333,0.766666667,1.0,,3169.257642,730.4305467,733.5226153,-1463.953162,,85.0,194.0,35.29,0.0016,36.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
139,70,WIND,W,,,1.0,149.7999882,0.0,21.26,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,398933.9818,1196801.946,-1595735.927,,70.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
140,2,WIND,W,,,1.0,250.5999989,0.0,42.73,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1116450.835,3349352.505,-4465803.34,,2.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
141,14,WIND,W,,,1.0,229.9999967,0.0,38.34,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,940444.4178,2821333.253,-3761777.671,,14.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
142,14,PV,S,,,1.0,703.3333333,0.0,44.94,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,8794271.605,26382814.81,-35177086.42,,14.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
143,53,WIND,W,,,1.0,238.499988,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1011239.898,3033719.695,-4044959.594,,53.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
144,62,CT,G,,,1.0,52.1,15.63,26.52,-5.78,1.0,2.0,3.83,,,,,,,75,2.29,0.3,0.533333333,0.766666667,1.0,,1706.331878,277.4770669,277.683578,-555.1606449,,62.0,590.0,52.2,0.0016,75.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
145,66,WIND,W,,,1.0,100.0000361,0.0,31.95,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,177777.906,533333.7179,-711111.6238,,66.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
146,75,WIND,W,,,1.0,267.9999992,0.0,46.43,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,1276871.103,3830613.31,-5107484.414,,75.0,0.0,0.0,0.0016,0.0,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
147,75,CT,G,,,1.0,181.7,54.51,38.7,-26.16,1.0,2.0,10.51,,,,,,,22,2.29,0.3,0.533333333,0.766666667,1.0,,1745.58952,956.4663315,958.9780902,-1915.444422,,75.0,531.0,51.42,0.0016,22.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
148,83,CT,G,,,1.0,13.9,4.17,0.0,0.0,1.0,2.0,0.64,,,,,,,7,2.29,0.3,0.533333333,0.766666667,1.0,,42.48908297,67.55556468,67.57026401,-135.1258287,,83.0,418.0,47.68,0.0016,7.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
